termID	termDef	totalTermGenes	totalTermSizeAA	nConvGenes	nConvSites	nDivGenes	nDivSites	totalMutatedGenes	funcClust
MP:0000048	abnormal stria vascularis morphology	39	21728	11	14	7	8	15	hearing
MP:0000049	abnormal middle ear morphology	85	37534	4	4	10	10	12	hearing
MP:0000054	delayed ear emergence	5	1966	1	1	1	1	2	hearing
MP:0000060	delayed bone ossification	112	62573	10	10	17	17	23	skeleton
MP:0000061	fragile skeleton	29	10728	0	0	3	3	3	skeleton
MP:0000062	increased bone mineral density	86	36044	12	12	7	9	16	skeleton
MP:0000063	decreased bone mineral density	221	100098	18	19	17	18	31	skeleton
MP:0000064	failure of secondary bone resorption	5	2642	0	0	2	2	2	skeleton
MP:0000065	abnormal bone marrow cavity morphology	37	23837	7	7	5	5	9	skeleton
MP:0000066	osteoporosis	43	20308	5	5	3	4	8	skeleton
MP:0000067	osteopetrosis	39	16355	8	8	4	4	11	skeleton
MP:0000069	kyphoscoliosis	26	21243	5	5	2	9	6	skeleton
MP:0000071	axial skeleton hypoplasia	6	3399	0	0	0	0	0	skeleton
MP:0000073	absent craniofacial bones	4	1374	0	0	0	0	0	craniofacial
MP:0000074	abnormal neurocranium morphology	212	106355	14	15	27	28	33	craniofacial
MP:0000075	absent neurocranium	5	5249	1	2	3	4	3	craniofacial
MP:0000077	abnormal interparietal bone morphology	50	25152	4	4	7	7	9	craniofacial
MP:0000078	abnormal supraoccipital bone morphology	29	13673	0	0	4	4	4	craniofacial
MP:0000079	abnormal basioccipital bone morphology	30	12394	0	0	2	2	2	craniofacial
MP:0000080	abnormal exoccipital bone morphology	14	6801	1	1	2	2	2	craniofacial
MP:0000081	premature suture closure	11	5286	0	0	1	1	1	skeleton
MP:0000082	overlapping parietal bones	1	250	0	0	0	0	0	
MP:0000084	abnormal fontanelle morphology	25	13136	2	2	2	2	3	craniofacial
MP:0000085	large anterior fontanelle	8	4685	0	0	0	0	0	craniofacial
MP:0000087	absent mandible	27	12127	3	4	3	3	6	craniofacial
MP:0000088	short mandible	81	40219	8	8	5	5	10	craniofacial
MP:0000090	absent premaxilla	11	5097	0	0	0	0	0	craniofacial
MP:0000091	short premaxilla	14	7634	1	1	0	0	1	craniofacial
MP:0000094	absent alveolar process	5	1269	0	0	0	0	0	craniofacial
MP:0000097	short maxilla	45	24494	3	3	1	1	4	craniofacial
MP:0000098	abnormal vomer bone morphology	10	5507	0	0	2	2	2	craniofacial
MP:0000099	absent vomer bone	3	2521	0	0	1	1	1	craniofacial
MP:0000100	abnormal ethmoidal bone morphology	7	3225	0	0	1	1	1	craniofacial
MP:0000101	absent ethmoidal bone	2	1187	0	0	1	1	1	craniofacial
MP:0000102	abnormal nasal bone morphology	62	36466	6	7	5	5	9	craniofacial
MP:0000103	nasal bone hypoplasia	6	4092	1	1	0	0	1	craniofacial
MP:0000104	abnormal sphenoid bone morphology	73	34786	2	2	10	10	11	craniofacial
MP:0000105	impaired ossification of basisphenoid bone	1	908	0	0	1	1	1	craniofacial
MP:0000106	abnormal basisphenoid bone morphology	44	21721	1	1	5	5	6	craniofacial
MP:0000107	abnormal frontal bone morphology	67	36495	4	4	7	7	9	craniofacial
MP:0000108	midline facial cleft	18	6910	1	2	2	2	3	craniofacial
MP:0000109	abnormal parietal bone morphology	53	33914	5	5	10	10	11	craniofacial
MP:0000111	cleft palate	248	138166	21	22	32	35	44	craniofacial
MP:0000114	cleft chin	3	692	1	1	0	0	1	craniofacial
MP:0000116	abnormal tooth development	65	32657	5	6	9	11	11	craniofacial
MP:0000117	absent tooth primordium	2	903	0	0	1	1	1	craniofacial
MP:0000118	arrest of tooth development	8	2506	0	0	0	0	0	craniofacial
MP:0000119	abnormal tooth eruption	26	10773	2	2	3	3	5	craniofacial
MP:0000120	malocclusion	42	24183	7	10	3	3	9	craniofacial
MP:0000121	failure of tooth eruption	19	7362	2	2	3	3	5	craniofacial
MP:0000122	premature tooth eruption	1	403	0	0	0	0	0	craniofacial
MP:0000124	absent teeth	16	10841	1	1	4	4	4	craniofacial
MP:0000125	absent incisors	26	11747	0	0	3	3	3	craniofacial
MP:0000126	brittle teeth	3	1418	0	0	0	0	0	craniofacial
MP:0000127	degenerate molars	1	297	0	0	0	0	0	craniofacial
MP:0000128	growth retardation of molars	8	2783	1	1	0	0	1	craniofacial
MP:0000129	ameloblast degeneration	3	834	1	1	0	0	1	craniofacial
MP:0000130	abnormal trabecular bone morphology	232	104716	27	28	26	28	46	skeleton
MP:0000131	abnormal long bone epiphysis morphology	26	12821	6	6	3	3	8	skeleton
MP:0000132	thickened long bone epiphysis	4	941	2	2	0	0	2	skeleton
MP:0000133	abnormal long bone metaphysis morphology	44	22853	8	8	8	8	13	skeleton
MP:0000134	abnormal compact bone thickness	92	46893	11	12	12	12	19	skeleton
MP:0000135	decreased compact bone thickness	66	31506	8	8	9	9	15	skeleton
MP:0000136	abnormal microglial cell morphology	76	27277	10	11	6	9	14	immune
MP:0000137	abnormal vertebrae morphology	421	197764	33	36	46	53	70	skeleton
MP:0000138	absent vertebrae	6	1368	1	1	1	1	1	skeleton
MP:0000139	absent vertebral transverse processes	4	621	0	0	0	0	0	skeleton
MP:0000140	absent vertebral pedicles	5	733	0	0	0	0	0	skeleton
MP:0000141	abnormal vertebral body morphology	52	23434	4	4	7	7	8	skeleton
MP:0000149	abnormal scapula morphology	56	25501	3	3	2	2	4	skeleton
MP:0000150	abnormal rib morphology	293	141647	26	29	38	43	51	skeleton
MP:0000151	absent ribs	9	2641	0	0	0	0	0	skeleton
MP:0000152	absent proximal rib	3	391	0	0	0	0	0	skeleton
MP:0000153	rib bifurcation	30	9848	1	1	5	5	5	skeleton
MP:0000154	rib fusion	85	37842	3	3	6	8	7	skeleton
MP:0000155	asymmetric rib attachment	42	16203	1	1	2	2	3	skeleton
MP:0000157	abnormal sternum morphology	189	101465	16	16	25	31	31	skeleton
MP:0000158	absent sternum	8	5114	0	0	0	0	0	skeleton
MP:0000159	abnormal xiphoid process morphology	52	24101	3	3	7	8	9	skeleton
MP:0000160	kyphosis	190	114788	27	31	17	21	37	skeleton
MP:0000161	scoliosis	39	21398	4	4	4	4	6	skeleton
MP:0000162	lordosis	34	20222	3	3	3	3	5	skeleton
MP:0000163	abnormal cartilage morphology	323	151892	32	34	38	43	61	skeleton
MP:0000164	abnormal cartilage development	178	88774	19	19	24	26	38	skeleton
MP:0000165	abnormal long bone hypertrophic chondrocyte zone	118	56959	10	10	12	12	19	skeleton
MP:0000166	abnormal chondrocyte morphology	86	53021	9	9	11	13	17	skeleton
MP:0000167	decreased chondrocyte number	16	8735	3	3	4	4	6	skeleton
MP:0000168	abnormal bone marrow development	12	3728	0	0	0	0	0	immune
MP:0000172	abnormal bone marrow cell number	166	80819	18	21	22	26	35	blood
MP:0000175	absent bone marrow cell	15	8949	0	0	3	3	3	blood
MP:0000180	abnormal circulating cholesterol level	365	167725	44	52	54	68	79	homeostasis
MP:0000181	abnormal circulating LDL cholesterol level	103	52110	15	18	17	26	24	homeostasis
MP:0000182	increased circulating LDL cholesterol level	53	25718	6	6	6	12	9	homeostasis
MP:0000183	decreased circulating LDL cholesterol level	55	32752	11	14	12	19	16	homeostasis
MP:0000184	abnormal circulating HDL cholesterol level	156	71093	29	36	30	37	43	homeostasis
MP:0000186	decreased circulating HDL cholesterol level	89	39828	16	19	17	22	22	homeostasis
MP:0000187	abnormal triglyceride level	358	151020	35	35	43	56	65	homeostasis
MP:0000188	abnormal circulating glucose level	561	259740	68	75	79	101	124	homeostasis
MP:0000189	hypoglycemia	100	50519	10	10	14	14	22	homeostasis
MP:0000192	abnormal mineral level	350	152466	39	43	42	48	69	homeostasis
MP:0000194	increased circulating calcium level	42	20400	2	2	7	7	8	homeostasis
MP:0000195	decreased circulating calcium level	41	18889	5	6	6	6	10	homeostasis
MP:0000198	decreased circulating phosphate level	25	8650	1	1	6	6	6	homeostasis
MP:0000199	abnormal circulating serum albumin level	101	48622	12	14	15	17	22	homeostasis
MP:0000202	abnormal circulating alkaline phosphatase level	159	77763	24	27	18	20	34	homeostasis
MP:0000203	abnormal circulating aspartate transaminase level	85	37909	8	8	12	14	17	homeostasis
MP:0000208	decreased hematocrit	166	80468	24	26	20	25	35	blood
MP:0000215	absent erythrocytes	5	2360	0	0	0	0	0	blood
MP:0000216	absent erythroid progenitor cell	7	2499	0	0	0	0	0	blood
MP:0000217	abnormal leukocyte cell number	1200	491684	101	119	137	168	208	immune
MP:0000218	increased leukocyte cell number	783	333290	75	90	82	104	137	immune
MP:0000219	increased neutrophil cell number	152	71065	23	30	18	25	36	immune
MP:0000220	increased monocyte cell number	99	48110	14	16	12	16	23	immune
MP:0000221	decreased leukocyte cell number	880	363857	69	81	97	117	146	immune
MP:0000222	decreased neutrophil cell number	88	32120	8	8	12	15	19	immune
MP:0000223	decreased monocyte cell number	47	18619	4	4	9	9	12	immune
MP:0000226	abnormal mean corpuscular volume	157	71481	14	15	24	27	32	blood
MP:0000228	abnormal thrombopoiesis	11	5145	0	0	0	0	0	immune
MP:0000229	abnormal megakaryocyte differentiation	26	13897	3	4	3	3	4	blood
MP:0000230	abnormal systemic arterial blood pressure	203	80511	16	17	30	40	41	cardiovascular
MP:0000231	hypertension	53	19943	6	7	13	19	18	cardiovascular
MP:0000233	abnormal blood flow velocity	25	10518	2	3	3	5	5	cardiovascular
MP:0000238	absent pre-B cells	12	7170	2	3	0	0	2	immune
MP:0000239	absent common myeloid progenitor cells	11	6369	0	0	2	2	2	blood
MP:0000240	extramedullary hematopoiesis	135	64558	14	15	20	21	29	blood
MP:0000242	impaired fertilization	56	21709	7	8	11	13	14	reproduction
MP:0000243	myoclonus	30	16338	5	5	5	7	7	nervous
MP:0000245	abnormal erythropoiesis	118	55161	9	11	15	17	22	blood
MP:0000248	macrocytosis	20	9087	2	2	1	1	3	blood
MP:0000249	abnormal blood vessel physiology	319	138329	34	38	37	45	62	cardiovascular
MP:0000250	abnormal vasoconstriction	48	25284	3	3	3	4	5	cardiovascular
MP:0000255	vasculature congestion	65	38776	5	5	7	11	11	cardiovascular
MP:0000256	echinocytosis	5	2038	1	1	0	0	1	blood
MP:0000259	abnormal vascular development	432	232210	43	48	40	48	74	cardiovascular
MP:0000260	abnormal angiogenesis	305	157469	27	29	33	41	52	cardiovascular
MP:0000262	poor arterial differentiation	7	3831	2	2	1	1	2	cardiovascular
MP:0000263	absent organized vascular network	7	8364	2	3	2	2	2	cardiovascular
MP:0000264	failure of vascular branching	8	6569	0	0	1	2	1	cardiovascular
MP:0000265	atretic vasculature	4	1745	0	0	0	0	0	cardiovascular
MP:0000266	abnormal heart morphology	1014	574299	111	132	134	163	206	cardiovascular
MP:0000267	abnormal heart development	303	186291	29	33	32	36	52	cardiovascular
MP:0000269	abnormal heart looping	106	58224	12	14	13	16	21	cardiovascular
MP:0000270	abnormal heart tube morphology	78	39044	8	8	7	9	12	cardiovascular
MP:0000272	abnormal aorta morphology	193	109953	19	21	27	32	36	cardiovascular
MP:0000273	overriding aortic valve	43	25351	4	4	5	5	9	cardiovascular
MP:0000274	enlarged heart	339	181432	41	53	52	61	78	cardiovascular
MP:0000275	heart hyperplasia	7	3220	0	0	1	1	1	cardiovascular
MP:0000276	heart right ventricle hypertrophy	33	23679	3	3	6	6	7	cardiovascular
MP:0000277	abnormal heart shape	27	14817	2	2	1	2	2	cardiovascular
MP:0000278	abnormal myocardial fiber morphology	177	99155	25	31	30	38	46	cardiovascular
MP:0000279	ventricular hypoplasia	26	15566	1	2	3	3	4	cardiovascular
MP:0000280	thin ventricular wall	107	71029	11	12	12	21	17	cardiovascular
MP:0000281	abnormal interventricular septum morphology	255	155774	25	27	22	25	41	cardiovascular
MP:0000282	abnormal interatrial septum morphology	85	64670	11	12	10	11	18	cardiovascular
MP:0000284	double outlet right ventricle	121	67327	8	10	13	15	18	cardiovascular
MP:0000285	abnormal heart valve morphology	128	84055	16	19	17	19	24	cardiovascular
MP:0000286	abnormal mitral valve morphology	36	23831	2	2	3	3	5	cardiovascular
MP:0000287	heart valve hypoplasia	1	226	0	0	0	0	0	cardiovascular
MP:0000288	abnormal pericardium morphology	195	115963	22	24	21	24	38	cardiovascular
MP:0000291	enlarged pericardium	49	24010	2	2	3	3	5	cardiovascular
MP:0000292	distended pericardium	50	30674	9	10	6	8	12	cardiovascular
MP:0000293	absent myocardial trabeculae	25	13914	3	3	1	1	4	cardiovascular
MP:0000295	trabecula carnea hypoplasia	50	27007	5	6	1	1	6	cardiovascular
MP:0000296	absent trabeculae carneae	12	7073	1	1	0	0	1	cardiovascular
MP:0000297	abnormal atrioventricular cushion morphology	78	46822	4	4	8	8	11	cardiovascular
MP:0000298	absent atrioventricular cushions	21	12427	1	1	0	0	1	cardiovascular
MP:0000299	failure of atrioventricular cushion closure	8	3980	0	0	1	1	1	cardiovascular
MP:0000300	thin atrioventricular cushion	2	3554	0	0	1	1	1	cardiovascular
MP:0000301	decreased atrioventricular cushion size	19	11442	1	1	4	4	5	cardiovascular
MP:0000304	abnormal cardiac stroke volume	22	9073	0	0	2	2	2	cardiovascular
MP:0000313	abnormal cell death	1125	542430	110	134	150	183	231	cellular
MP:0000314	schistocytosis	6	5821	3	3	2	2	3	blood
MP:0000315	hemoglobinuria	2	905	0	0	0	0	0	homeostasis
MP:0000316	cellular necrosis	10	2714	1	1	1	1	1	cellular
MP:0000321	increased bone marrow cell number	44	20091	3	4	8	9	10	blood
MP:0000322	increased granulocyte number	247	114274	33	41	31	39	58	immune
MP:0000324	increased mast cell number	17	10357	3	4	1	2	4	immune
MP:0000328	increased enterocyte cell number	1	242	0	0	0	0	0	digestive
MP:0000333	decreased bone marrow cell number	118	60905	13	15	15	18	25	blood
MP:0000334	decreased granulocyte number	165	59710	15	16	16	19	29	immune
MP:0000336	decreased mast cell number	18	9620	5	5	2	2	7	immune
MP:0000339	decreased enterocyte cell number	3	782	0	0	1	1	1	digestive
MP:0000341	abnormal bile color	1	733	0	0	1	1	1	liver
MP:0000343	altered response to myocardial infarction	69	24844	7	8	4	6	9	cardiovascular
MP:0000344	absent Cajal-Retzius cell	4	1731	1	1	2	2	2	nervous
MP:0000346	broad head	9	6647	2	3	1	1	2	craniofacial
MP:0000348	abnormal aerobic fitness	6	2769	1	1	1	1	1	homeostasis
MP:0000350	abnormal cell proliferation	743	367806	73	85	87	98	141	cellular
MP:0000351	increased cell proliferation	194	86565	12	12	25	29	34	cellular
MP:0000352	decreased cell proliferation	393	208565	39	48	46	53	74	cellular
MP:0000358	abnormal cell morphology	524	260597	65	78	82	113	123	cellular
MP:0000359	abnormal mast cell morphology	44	18773	7	8	5	7	12	immune
MP:0000361	decreased mast cell protease storage	2	1237	0	0	0	0	0	immune
MP:0000362	decreased mast cell histamine storage	5	1748	0	0	1	1	1	immune
MP:0000364	abnormal vascular regression	31	17731	1	1	2	2	3	cardiovascular
MP:0000367	abnormal coat/ hair morphology	461	228513	60	72	68	84	111	skin
MP:0000370	head blaze	5	1876	1	1	0	0	1	skin
MP:0000371	diluted coat color	56	29647	6	6	13	14	19	skin
MP:0000372	irregular coat pigmentation	22	10339	4	4	5	6	8	skin
MP:0000373	belly spot	30	17230	4	4	3	3	6	skin
MP:0000376	folliculitis	1	160	0	0	0	0	0	skin
MP:0000377	abnormal hair follicle morphology	190	96406	20	21	25	30	37	skin
MP:0000378	absent hair follicles	12	5840	0	0	2	2	2	skin
MP:0000379	decreased hair follicle number	59	33174	6	6	7	7	12	skin
MP:0000380	small hair follicles	9	5803	0	0	0	0	0	skin
MP:0000381	enlarged hair follicles	5	2158	1	1	0	0	1	skin
MP:0000382	underdeveloped hair follicles	24	13337	2	2	3	5	5	skin
MP:0000383	abnormal hair follicle orientation	22	10618	2	2	4	6	4	skin
MP:0000384	distorted hair follicle pattern	11	4947	3	3	3	3	4	skin
MP:0000385	distended hair follicles	2	936	1	1	1	2	1	skin
MP:0000387	disorganized inner root sheath cells	1	348	0	0	0	0	0	skin
MP:0000388	absent hair follicle inner root sheath	1	169	0	0	0	0	0	skin
MP:0000389	disorganized outer root sheath cells	1	390	0	0	0	0	0	skin
MP:0000392	accelerated hair follicle regression	5	2004	0	0	0	0	0	skin
MP:0000394	absent hair follicle melanin granules	7	3903	2	3	2	2	4	skin
MP:0000396	increased curvature of hairs	6	1990	2	2	2	2	2	skin
MP:0000397	abnormal guard hair morphology	16	5895	2	2	3	3	4	skin
MP:0000398	splitting of guard hairs	1	214	0	0	0	0	0	skin
MP:0000399	increased curvature of guard hairs	2	1182	1	1	1	1	1	skin
MP:0000400	abnormal awl hair morphology	13	6228	1	1	3	5	4	skin
MP:0000401	increased curvature of awl hairs	1	349	0	0	0	0	0	skin
MP:0000402	abnormal zigzag hair morphology	21	8746	3	3	5	7	7	skin
MP:0000403	increased curvature of zigzag hairs	2	621	1	1	1	1	1	skin
MP:0000404	decreased curvature of zigzag hairs	2	997	0	0	0	0	0	skin
MP:0000405	abnormal auchene hair morphology	14	4473	0	0	3	5	3	skin
MP:0000406	increased curvature of auchene hairs	2	705	0	0	0	0	0	skin
MP:0000408	absent duvet hair	1	315	0	0	0	0	0	skin
MP:0000410	waved hair	22	9397	4	4	7	9	8	skin
MP:0000411	shiny fur	4	920	1	1	1	1	1	skin
MP:0000412	excessive hair	1	1106	0	0	0	0	0	skin
MP:0000413	polyphalangy	9	5627	2	3	3	3	5	limb
MP:0000414	alopecia	118	58840	20	22	19	26	32	skin
MP:0000416	sparse hair	80	38074	13	17	16	25	24	skin
MP:0000417	short hair	15	6788	4	4	2	3	4	skin
MP:0000418	focal hair loss	37	17365	6	8	3	3	8	skin
MP:0000420	ruffled hair	25	10433	2	4	3	7	3	skin
MP:0000421	mottled coat	5	2952	2	2	0	0	2	skin
MP:0000422	delayed hair appearance	20	10415	2	2	3	3	4	skin
MP:0000423	delayed hair regrowth	8	6198	1	1	2	2	3	skin
MP:0000424	retarded hair growth	9	3182	1	1	3	5	3	skin
MP:0000425	loss of eyelid cilia	3	1154	1	1	1	2	1	vision
MP:0000427	abnormal hair cycle	61	33493	7	7	10	12	13	skin
MP:0000428	abnormal craniofacial morphology	882	473016	94	112	119	134	181	craniofacial
MP:0000430	absent maxillary shelf	13	5754	1	1	5	5	5	craniofacial
MP:0000431	absent palatine bone horizontal plate	9	4138	1	1	3	3	3	craniofacial
MP:0000432	abnormal head morphology	713	405302	81	97	106	121	159	growth
MP:0000433	microcephaly	73	39520	5	7	9	9	14	growth
MP:0000434	megacephaly	15	9521	1	2	3	4	3	growth
MP:0000435	shortened head	32	16666	5	6	5	5	9	craniofacial
MP:0000436	abnormal head movements	86	48949	10	13	17	21	20	behavior
MP:0000438	abnormal cranium morphology	555	298877	56	67	76	82	110	craniofacial
MP:0000439	enlarged cranium	13	11074	2	2	5	5	5	craniofacial
MP:0000440	domed cranium	73	47462	9	12	13	14	19	craniofacial
MP:0000441	increased cranium width	11	4517	0	0	2	2	2	craniofacial
MP:0000443	abnormal snout morphology	158	104602	23	26	26	30	40	craniofacial
MP:0000445	short snout	118	85994	18	21	20	24	31	craniofacial
MP:0000446	long snout	2	3331	1	1	2	2	2	craniofacial
MP:0000447	flattened snout	4	1785	0	0	0	0	0	craniofacial
MP:0000448	pointed snout	8	6287	2	2	3	5	3	craniofacial
MP:0000449	broad nasal bridge	4	3070	0	0	0	0	0	craniofacial
MP:0000450	absent snout	2	789	0	0	0	0	0	craniofacial
MP:0000451	scaly muzzle	1	333	0	0	1	1	1	craniofacial
MP:0000452	abnormal mouth morphology	441	247792	47	54	57	65	86	craniofacial
MP:0000453	absent mouth	3	754	0	0	0	0	0	craniofacial
MP:0000454	abnormal jaw morphology	363	193661	36	40	51	54	73	craniofacial
MP:0000455	abnormal maxilla morphology	131	67852	7	7	13	13	17	craniofacial
MP:0000457	maxilla hypoplasia	10	6027	2	2	1	1	2	craniofacial
MP:0000458	abnormal mandible morphology	178	84268	16	17	21	22	32	craniofacial
MP:0000459	abnormal presacral vertebrae morphology	239	110781	12	13	26	32	32	skeleton
MP:0000460	mandible hypoplasia	35	14535	3	3	6	6	9	craniofacial
MP:0000461	decreased presacral vertebrae number	72	30268	3	3	9	13	10	skeleton
MP:0000462	abnormal digestive system morphology	854	433029	102	113	112	133	182	digestive
MP:0000464	increased presacral vertebrae number	22	8524	1	1	5	5	6	skeleton
MP:0000465	gastrointestinal hemorrhage	45	20248	4	4	5	5	7	cardiovascular
MP:0000466	esophageal epithelium hyperplasia	6	2255	1	1	1	2	2	digestive
MP:0000467	abnormal esophagus morphology	63	32861	15	15	8	11	20	digestive
MP:0000468	abnormal esophageal epithelium morphology	24	11294	5	5	2	3	6	digestive
MP:0000469	abnormal esophageal squamous epithelium morphology	4	2073	1	1	0	0	1	digestive
MP:0000470	abnormal stomach morphology	131	62835	18	19	17	20	28	digestive
MP:0000471	abnormal stomach epithelium morphology	46	21038	3	4	4	4	6	digestive
MP:0000472	abnormal stomach non-glandular epithelium morphology	5	2761	0	0	0	0	0	digestive
MP:0000473	abnormal stomach glandular epithelium morphology	22	9703	1	2	3	3	3	digestive
MP:0000474	abnormal foregut morphology	32	16316	3	3	3	3	6	digestive
MP:0000477	abnormal intestine morphology	373	175982	45	48	43	56	76	digestive
MP:0000478	delayed intestine development	8	2977	0	0	0	0	0	digestive
MP:0000479	abnormal enterocyte morphology	35	16149	5	5	4	4	8	digestive
MP:0000480	increased rib number	69	27222	6	7	13	13	16	skeleton
MP:0000481	abnormal enterocyte cell number	5	1154	0	0	2	2	2	digestive
MP:0000482	long fibula	1	600	0	0	1	1	1	limb
MP:0000484	abnormal pulmonary artery morphology	58	30371	4	5	6	7	7	cardiovascular
MP:0000486	abnormal pulmonary trunk morphology	16	9121	0	0	2	2	2	cardiovascular
MP:0000487	absent enterocytes	2	607	0	0	1	1	1	digestive
MP:0000488	abnormal intestinal epithelium morphology	193	82001	15	17	19	25	30	digestive
MP:0000489	abnormal large intestine morphology	150	71154	23	25	20	26	34	digestive
MP:0000490	abnormal crypts of Lieberkuhn morphology	123	47314	6	7	12	15	17	gland
MP:0000491	crypts of Lieberkuhn abscesses	14	5367	0	0	1	1	1	gland
MP:0000492	abnormal rectum morphology	43	21332	6	6	4	4	9	digestive
MP:0000493	rectal prolapse	30	14495	6	6	4	4	9	digestive
MP:0000494	abnormal cecum morphology	26	13970	4	4	4	5	7	digestive
MP:0000495	abnormal colon morphology	101	47437	16	18	17	23	25	digestive
MP:0000496	abnormal small intestine morphology	163	73291	16	16	19	25	30	digestive
MP:0000497	abnormal small intestine placement	1	213	0	0	0	0	0	digestive
MP:0000498	absent jejunum	1	16	0	0	0	0	0	digestive
MP:0000500	small intestinal prolapse	1	916	1	1	1	1	1	digestive
MP:0000501	abnormal digestive secretion	30	10330	2	3	4	4	5	digestive
MP:0000503	excessive digestive secretion	4	988	0	0	1	1	1	digestive
MP:0000505	decreased digestive secretion	10	3854	0	0	2	2	2	digestive
MP:0000507	absent digestive secretion	2	1027	1	1	0	0	1	digestive
MP:0000508	right-sided isomerism	19	12178	4	4	3	3	5	growth
MP:0000510	remittent intestinal hemorrhage	1	916	1	1	1	1	1	cardiovascular
MP:0000511	abnormal intestinal mucosa morphology	166	65751	9	11	17	23	23	digestive
MP:0000512	intestinal ulcer	27	10259	1	1	3	4	4	digestive
MP:0000516	abnormal renal/urinary system morphology	708	369566	89	101	97	117	155	renal
MP:0000519	hydronephrosis	92	50673	7	7	6	6	9	renal
MP:0000520	absent kidney	57	35074	8	10	9	12	11	renal
MP:0000521	abnormal kidney cortex morphology	300	150254	38	42	40	51	64	renal
MP:0000522	kidney cortex cysts	32	17491	6	7	5	8	7	renal
MP:0000523	cortical renal glomerulopathies	153	71007	21	23	22	27	36	renal
MP:0000524	decreased renal tubule number	8	2546	0	0	1	1	1	renal
MP:0000525	renal tubular acidosis	7	3279	0	0	1	2	1	homeostasis
MP:0000526	small inner medullary pyramid	3	218	0	0	0	0	0	renal
MP:0000527	abnormal kidney development	96	52036	9	12	12	15	15	renal
MP:0000528	delayed kidney development	17	7702	1	1	3	3	3	renal
MP:0000530	abnormal kidney blood vessel morphology	71	34308	6	7	11	14	14	cardiovascular
MP:0000531	right pulmonary isomerism	16	7455	2	2	2	2	3	respiratory
MP:0000532	kidney vascular congestion	5	1686	0	0	0	0	0	cardiovascular
MP:0000533	kidney hemorrhage	14	6704	0	0	2	2	2	cardiovascular
MP:0000534	abnormal ureter morphology	144	80095	10	11	11	12	16	renal
MP:0000535	ureter urothelium hyperplasia	1	154	0	0	0	0	0	renal
MP:0000536	hydroureter	27	12562	1	1	0	0	1	renal
MP:0000537	abnormal urethra morphology	22	9985	1	1	1	1	2	renal
MP:0000538	abnormal urinary bladder morphology	61	35483	3	3	5	5	6	renal
MP:0000539	distended urinary bladder	19	7937	1	1	2	2	2	renal
MP:0000540	abnormal urinary bladder urothelium morphology	15	8302	1	1	1	1	2	renal
MP:0000542	left-sided isomerism	20	13138	3	4	8	11	8	growth
MP:0000543	absent urinary bladder urothelium	1	607	0	0	0	0	0	renal
MP:0000544	thin urinary bladder urothelium	1	607	0	0	0	0	0	renal
